Duyuru Başlığı,Link,Eklenme Tarihi,Mail Durumu
Mimarlık ve Tasarım Fakültesi’den Bir Ödül Daha!,https://www.maltepe.edu.tr/tr/mimarlik-ve-tasarim-fakultesi’den-bir-odul-daha,30.12.2025 18:18,ℹ️ Listeye Eklendi
GSCSSC-2025,https://www.maltepe.edu.tr/tr/gscssc2025,30.12.2025 18:18,ℹ️ Listeye Eklendi
YÖKAK Kurumsal Akreditasyon Programı (KAP) Saha Ziyaretleri tamamlandı,https://www.maltepe.edu.tr/tr/yokak-kurumsal-akreditasyon-programi-kap-saha-ziyaretleri-tamamlandi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
"Maltepe Üniversitesi, Avrupa Birliği Projesinde Eş Finansör: “Eğitimli  Gençlik ile Güçlü Gastronomi Turizmi”",https://www.maltepe.edu.tr/tr/egitimli-genclik-ile-guclu-gastronomi-turizmi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Maltepe Üniversitesi’nde Dünya Çocuk Hakları Günü Paneli,https://www.maltepe.edu.tr/tr/maltepe-universitesi’nde-dunya-cocuk-haklari-gunu-paneli,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
"Üniversitemiz Arama ve Kurtarma Kulübü, 6 Şubat 2023 Kahramanmaraş Depremlerinde Hayatını Kaybeden Öğrencilerimizin Anısını Yaşatmaya Devam Ediyor",https://www.maltepe.edu.tr/tr/arama-kurtarma-kulubu,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Üniversitemiz TS EN ISO 9001:2015 Kalite Yönetim Sistemi Belgesi'ni almaya hak kazandı,https://www.maltepe.edu.tr/tr/tse-iso-900-2015-belgesi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Disiplinlerarası Akademi ve Sektör Çalışmaları Sempozyumu,https://www.maltepe.edu.tr/tr/disiplinlerarasi-akademi-ve-sektor-calismalari-sempozyumu,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
SAHNE SANATLARI 2. ETAP YETENEK SINAVI SONUÇLARI,https://www.maltepe.edu.tr/tr/sahne-sanatlari-2-etap-yetenek-sinavi-sonuclari,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
2024-2025 Eğitim-Öğretim Yılı Güz Yarıyılı Ders/Şube Seçimi,https://www.maltepe.edu.tr/tr/2024-2025-egitim-ogretim-yili-guz-yariyili-derssube-secimi,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Maltepe Üniversitesi 2024-2028 Stratejik Planı Yayımlanmıştır,https://www.maltepe.edu.tr/tr/maltepe-universitesi-2024-2028-stratejik-plani-yayimlanmistir,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
Rektörümüz Prof. Dr. Edibe SÖZEN’in 15 Temmuz Demokrasi ve Milli Birlik Günü Mesajı,https://www.maltepe.edu.tr/tr/rektorumuz-prof-dr-edibe-sozen’in-15-temmuz-demokrasi-ve-milli-birlik-gunu-mesaji,26.11.2025 10:04,ℹ️ Listeye Eklendi | Haftalık Raporlandı 26.11.2025
